Architecture,Memory_MB,Workers,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
x86,1024,20,pi,20,14.996624494791032,24577.386825679194,4.9998746065633295
x86,1024,20,titanic,10,10.026349239349363,13450.532695703769,3.3427848363990784
x86,1024,20,video,96,87.85970446638294,111694.48608743963,29.292425469092073
x86,1024,24,ml,40,72.87257689436277,98583.83947113305,29.15486056389666
x86,1024,24,pi,20,12.426712987820308,28206.144384572617,4.971679332167149
x86,1024,24,titanic,10,7.94843470354875,13647.478380862522,3.1800097561957843
x86,1024,24,video,92,89.66572162907835,133683.8371106494,35.873461909361666
x86,1024,28,ml,40,72.13534476331301,115146.72575633394,33.66989352172399
x86,1024,28,pi,20,10.630195310286114,30335.402670758303,4.961749963029147
x86,1024,28,titanic,11,6.756191485887998,14959.62481184732,3.153519937953082
x86,1024,28,video,100,89.2696154671056,157160.8595225767,41.66748571542621
x86,2048,4,ml,52,43.06238131798231,15481.608736138214,5.742799172566122
x86,2048,4,pi,23,68.85445565627171,15205.70759768594,9.182430206320397
x86,2048,4,titanic,10,46.18901126384735,13562.09824219401,6.159766542146683
x86,2048,4,video,80,56.12483964363734,23598.50080627639,7.484808614875476
x86,2048,5,ml,56,42.67864093780518,19376.89550507329,7.114529444332123
x86,2048,5,pi,23,55.060739988547105,15867.60963940142,9.178625356090803
x86,2048,5,titanic,10,34.69965172290802,13277.365587932512,5.784431942208768
x86,2048,5,video,80,51.622559261322024,30665.78263668942,8.60548062886238
x86,2048,6,ml,52,42.11353306586926,22858.24008889068,8.424391154496488
x86,2048,6,pi,23,45.86296018789976,16783.99603521808,9.17442655598747
x86,2048,6,titanic,10,26.86113052368164,12787.244293096064,5.373300549957276
x86,2048,6,video,80,52.24077592293421,35275.47084596317,10.45024481562376
x86,2048,7,ml,56,41.669174303813854,26434.759872296538,9.72475189902408
x86,2048,7,pi,23,39.163257674594504,16990.999666286494,9.139921076096865
x86,2048,7,titanic,10,22.659559093202866,12556.698393238426,5.288287901171684
x86,2048,7,video,80,55.61628791689873,41176.61806345848,12.97972927404583
